51355,8437 -14,651  0,007
51355,8558 -14,668  0,007
51359,5930 -14,669  0,012
51360,5691 -14,747  0,014
51361,5706 -14,802  0,009
51362,5887 -14,676  0,009
51364,8366 -14,829  0,009
51364,8486 -14,828  0,009
51365,8340 -14,717  0,010
51365,8461 -14,707  0,011
51366,8404 -14,660  0,008
51366,8525 -14,679  0,008
51367,8624 -14,808  0,014
51374,8575 -14,771  0,013
51374,8696 -14,780  0,011
51380,8071 -14,639  0,011
51380,8192 -14,663  0,012
51381,7834 -14,778  0,009
51381,7955 -14,773  0,009
51382,8006 -14,801  0,012
51382,8127 -14,802  0,010
51383,7875 -14,661  0,010
51383,7996 -14,668  0,011
51384,7819 -14,660  0,011
51384,7940 -14,683  0,010
51385,7766 -14,813  0,009
51385,7887 -14,798  0,009
51386,7759 -14,748  0,009
51386,7880 -14,733  0,009
51389,7840 -14,805  0,011
51389,7962 -14,790  0,011
51390,5201 -14,711  0,012
51390,7577 -14,670  0,009
51390,7699 -14,683  0,009
51391,5672 -14,657  0,011
51391,7565 -14,708  0,008
51391,7686 -14,710  0,008
51392,4756 -14,795  0,011
51392,7450 -14,803  0,008
51392,7570 -14,829  0,007
51393,7613 -14,730  0,009
51393,7733 -14,729  0,009
51394,7549 -14,662  0,009
51394,7669 -14,654  0,010
51395,7982 -14,736  0,009
51395,8102 -14,756  0,011
51398,8272 -14,682  0,014
51399,7885 -14,845  0,012
51400,8082 -14,752  0,013
51401,7520 -14,612  0,013
51402,8258 -14,723  0,011
51403,7459 -14,821  0,010
51408,7452 -14,636  0,009
51408,7572 -14,658  0,008
51408,7693 -14,656  0,009
51417,4861 -14,828  0,011
51417,7047 -14,828  0,007
51417,7168 -14,841  0,007
51418,7495 -14,690  0,012
51418,7617 -14,765  0,015
51421,4733 -14,814  0,010
51421,4859 -14,787  0,010
51423,4669 -14,694  0,009
51423,4794 -14,697  0,010
51431,7135 -14,824  0,009
51432,7029 -14,757  0,012
51433,6656 -14,657  0,008
51435,6140 -14,819  0,012
51437,6359 -14,708  0,013
51438,4516 -14,817  0,009
51438,6645 -14,831  0,007
51438,6767 -14,836  0,007
51439,6512 -14,761  0,010
51439,6844 -14,750  0,008
51443,6590 -14,702  0,010
51443,6707 -14,699  0,010
51447,6494 -14,632  0,013
51447,6610 -14,660  0,013
51459,6419 -14,821  0,013
51459,6535 -14,801  0,015
51463,5660 -14,847  0,012
51463,5776 -14,825  0,011
51464,5462 -14,696  0,009
51464,5578 -14,716  0,009
51465,6143 -14,666  0,011
51465,6259 -14,704  0,012
51466,3832 -14,815  0,009
51467,3576 -14,810  0,010
51480,5902 -14,817  0,013
51481,5278 -14,801  0,009
51484,5885 -14,837  0,013
51484,6001 -14,859  0,012
51487,5223 -14,774  0,011
51487,5339 -14,793  0,011
51488,5157 -14,793  0,012
51488,5273 -14,857  0,010
51494,5431 -14,786  0,010
51497,5287 -14,714  0,010
51497,5454 -14,700  0,007
51497,5620 -14,733  0,012
51497,5736 -14,684  0,013
51497,5852 -14,709  0,015
51507,3474 -14,661  0,011
